Logger, apex7414:         	Automatically truncated logfile to 1048576
Session, apex7414:        	Garbage collected 1 incoming messages, 0 left
Session, apex7414:        	Garbage collected 1 outgoing messages, 2 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29196 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30658 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Garbage collected 1 incoming messages, 0 left
Session, apex7414:        	Garbage collected 1 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30659 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29197 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29198 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30660 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30661 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29199 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30662 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29200 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30663 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29201 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30664 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29202 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093679238611468288 sent 29203 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30665 seconds ago, no response has been received or it wasn't yet handled!
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
PingLoop, apex7414:       	Ping DC 2.0
Session, apex7414:        	Garbage collected 0 outgoing messages, 1 left
Session, apex7414:        	Can't garbage collect msgs_state_req with message ID 7093672959369281536 sent 30666 seconds ago, no response has been received or it wasn't yet handled!
